pos	count	rate_among_hits
2	2	0.000000
3	51	0.000003
5	3	0.000000
6	16	0.000001
7	373	0.000024
8	914	0.000059
9	1204	0.000077
10	1104	0.000071
11	2403	0.000154
12	702	0.000045
13	1788	0.000114
14	2343	0.000150
15	3588	0.000230
16	4961	0.000318
17	3237	0.000207
18	1495	0.000096
19	3514	0.000225
20	7628	0.000488
21	9273	0.000594
22	23354	0.001495
23	15832	0.001014
24	139425	0.008926
25	28638	0.001833
26	29031	0.001859
27	167531	0.010726
28	15059262	0.964119
29	100389	0.006427
30	4822	0.000309
31	4855	0.000311
32	903	0.000058
33	4	0.000000
34	10	0.000001
35	14	0.000001
36	6	0.000000
37	5	0.000000
38	23	0.000001
39	5	0.000000
40	251	0.000016
41	1	0.000000
42	6	0.000000
43	2	0.000000
44	2	0.000000
45	1	0.000000
47	1	0.000000
48	5	0.000000
50	1	0.000000
60	1	0.000000
63	1	0.000000
64	70	0.000004
65	1	0.000000
68	4	0.000000
69	1	0.000000
73	7	0.000000
75	3	0.000000
79	6	0.000000
96	8	0.000001
97	2	0.000000
98	7	0.000000
99	85	0.000005
100	15	0.000001
101	148	0.000009
102	270	0.000017
103	97	0.000006
118	1	0.000000
120	1	0.000000
121	1	0.000000
126	1	0.000000
