pos	count	rate_among_hits
1	6023	0.000143
2	9810	0.000233
3	94082	0.002234
4	22591	0.000536
5	5395	0.000128
6	13040	0.000310
7	320134	0.007601
8	7520	0.000179
9	13962	0.000332
10	107783	0.002559
11	26103785	0.619807
12	5298938	0.125818
13	6232275	0.147979
14	3817025	0.090631
15	9855	0.000234
16	541	0.000013
17	1058	0.000025
18	884	0.000021
19	2551	0.000061
20	2102	0.000050
21	10201	0.000242
22	686	0.000016
23	9140	0.000217
24	715	0.000017
25	1005	0.000024
26	821	0.000019
27	1067	0.000025
28	1149	0.000027
29	1381	0.000033
30	1371	0.000033
31	562	0.000013
32	2462	0.000058
33	277	0.000007
34	31	0.000001
35	42	0.000001
36	1	0.000000
37	1	0.000000
38	4	0.000000
39	54	0.000001
40	5	0.000000
41	95	0.000002
42	140	0.000003
43	16	0.000000
44	1	0.000000
45	1	0.000000
46	3	0.000000
47	11	0.000000
48	5	0.000000
49	552	0.000013
50	3740	0.000089
51	1819	0.000043
52	723	0.000017
53	5	0.000000
54	2	0.000000
55	8	0.000000
56	1	0.000000
57	2	0.000000
58	7	0.000000
61	2	0.000000
62	6	0.000000
63	13	0.000000
64	17	0.000000
65	9	0.000000
66	24	0.000001
67	17	0.000000
68	138	0.000003
69	254	0.000006
70	118	0.000003
71	142	0.000003
72	152	0.000004
73	25	0.000001
74	58	0.000001
75	50	0.000001
76	46	0.000001
77	106	0.000003
78	54	0.000001
79	83	0.000002
80	63	0.000001
81	164	0.000004
82	852	0.000020
83	1484	0.000035
84	1227	0.000029
85	1618	0.000038
86	744	0.000018
87	412	0.000010
88	269	0.000006
89	82	0.000002
90	115	0.000003
91	10	0.000000
92	7	0.000000
93	4	0.000000
94	1	0.000000
95	3	0.000000
96	1	0.000000
97	1	0.000000
98	7	0.000000
99	3	0.000000
100	1	0.000000
101	2	0.000000
102	3	0.000000
103	4	0.000000
104	15	0.000000
105	9	0.000000
106	26	0.000001
107	22	0.000001
108	11	0.000000
109	8	0.000000
110	7	0.000000
111	9	0.000000
112	1	0.000000
119	1	0.000000
122	1	0.000000
123	2	0.000000
124	1	0.000000
125	13	0.000000
126	6	0.000000
128	1	0.000000
