pos	count	rate_among_hits
1	1	0.000000
2	9	0.000000
3	1804	0.000096
4	9	0.000000
5	83	0.000004
6	334	0.000018
7	640	0.000034
8	6	0.000000
9	842	0.000045
10	509	0.000027
11	824	0.000044
12	896	0.000048
13	2718	0.000144
14	1122	0.000059
15	3230	0.000171
16	1611	0.000085
17	2267	0.000120
18	13721	0.000728
19	90545	0.004801
20	9324	0.000494
21	6004	0.000318
22	18709	0.000992
23	7127	0.000378
24	307399	0.016300
25	18153	0.000963
26	55693	0.002953
27	181744	0.009637
28	17839726	0.945974
29	86192	0.004570
30	179807	0.009534
31	8022	0.000425
32	1653	0.000088
33	121	0.000006
34	282	0.000015
35	340	0.000018
36	102	0.000005
37	30	0.000002
38	1941	0.000103
39	27	0.000001
40	6	0.000000
41	3	0.000000
42	33	0.000002
43	16	0.000001
44	6	0.000000
45	93	0.000005
46	6	0.000000
47	2	0.000000
48	67	0.000004
49	1	0.000000
50	2	0.000000
52	1	0.000000
53	1	0.000000
55	3	0.000000
56	2	0.000000
57	5	0.000000
58	15	0.000001
60	2	0.000000
61	6	0.000000
62	6	0.000000
63	6	0.000000
64	231	0.000012
65	64	0.000003
66	4	0.000000
67	1	0.000000
68	50	0.000003
69	3	0.000000
70	3	0.000000
71	2	0.000000
72	3	0.000000
73	6	0.000000
74	5	0.000000
77	1	0.000000
78	2	0.000000
79	2	0.000000
81	3	0.000000
82	2	0.000000
83	4	0.000000
84	140	0.000007
85	12	0.000001
86	50	0.000003
87	9	0.000000
88	8	0.000000
89	72	0.000004
90	11	0.000001
91	31	0.000002
92	39	0.000002
93	5	0.000000
94	27	0.000001
95	118	0.000006
96	957	0.000051
97	153	0.000008
98	889	0.000047
99	3765	0.000200
100	2202	0.000117
101	2238	0.000119
102	2801	0.000149
103	617	0.000033
104	43	0.000002
105	5	0.000000
106	2	0.000000
107	2	0.000000
108	1	0.000000
109	4	0.000000
111	1	0.000000
112	1	0.000000
113	1	0.000000
116	1	0.000000
117	3	0.000000
118	5	0.000000
119	1	0.000000
120	8	0.000000
121	13	0.000001
122	8	0.000000
123	8	0.000000
124	4	0.000000
125	2	0.000000
126	5	0.000000
127	14	0.000001
128	78	0.000004
