pos	count	rate_among_hits
1	824	0.000040
2	2747	0.000134
3	23209	0.001129
4	22975	0.001117
5	4529	0.000220
6	10234	0.000498
7	135437	0.006586
8	10916	0.000531
9	13051	0.000635
10	76507	0.003720
11	16776461	0.815744
12	1261139	0.061322
13	1134592	0.055169
14	1087133	0.052861
15	2655	0.000129
16	212	0.000010
17	45	0.000002
18	59	0.000003
19	164	0.000008
20	243	0.000012
21	278	0.000014
22	147	0.000007
23	371	0.000018
24	300	0.000015
25	145	0.000007
26	56	0.000003
27	150	0.000007
28	231	0.000011
29	139	0.000007
30	254	0.000012
31	162	0.000008
32	179	0.000009
33	57	0.000003
34	1	0.000000
39	27	0.000001
41	31	0.000002
47	1	0.000000
49	23	0.000001
50	4	0.000000
51	15	0.000001
52	2	0.000000
56	3	0.000000
67	1	0.000000
69	8	0.000000
70	3	0.000000
82	4	0.000000
83	5	0.000000
84	5	0.000000
85	26	0.000001
86	67	0.000003
87	2	0.000000
88	2	0.000000
89	1	0.000000
97	1	0.000000
101	1	0.000000
102	1	0.000000
106	1	0.000000
